Number of Run, Trial Count,Initial Average Hum,Average hum after algorithm, Initial Standard hum deviation,Standard deviation hum after algorithm,Initial Average tem,Average tem after algorithm, Initial Standard tem deviation,Standard deviation tem after algorithm,humAveIss ,humStdIss,temAveIss,temStdIss,,
50,80,50.14739962,48.23073295,3.103632866,1.519154444,69.77431198,72.85764531,2.260181094,0.420060931,1,0,0,0,,
51,8,50.8573381,47.94067143,2.808281147,0.667336424,70.60493547,72.1882688,2.663179856,1.051123133,0,0,0,0,,
52,80,49.39736718,48.39736718,3.402799151,1.998087233,69.34758746,72.26425413,3.329877626,2.111056466,1,1,0,1,,
53,8,48.98773682,47.98773682,2.775803367,1.24164852,69.76739511,72.35072844,2.854002198,0.899453493,0,0,0,0,,
54,80,50.57220577,48.32220577,2.760291088,1.449924585,69.17170781,72.42170781,2.345305223,1.441494756,1,0,0,0,,
55,80,49.99467807,48.0780114,2.35586383,1.041060067,69.19833464,72.53166797,2.337670335,1.529798642,1,0,0,1,,
56,80,49.05299963,48.13633297,2.461143714,0.822606557,71.01364339,72.59697672,3.039739241,1.676140335,1,0,0,1,,
57,80,50.80844687,48.22511354,3.258752518,1.359565508,70.57782153,72.82782153,2.668810098,0.632869769,1,0,0,0,,
58,80,49.27307963,47.9397463,2.711005139,0.491625677,69.62015484,72.28682151,2.317276324,1.620010119,0,0,0,1,,
59,80,50.26811998,48.01811998,3.100960959,0.373296661,68.96959993,72.3862666,2.633708404,2.009132684,1,0,0,1,,
60,80,49.29327605,48.54327605,3.00091004,1.638271436,70.17708655,72.17708655,3.025600159,1.980455527,1,0,0,1,,
61,13,49.62962705,47.96296039,2.532011957,0.646177685,69.64369659,72.64369659,3.610953329,0.772003432,0,0,0,0,,
62,4,48.82427198,47.99093865,1.816275614,1.288172655,70.16960428,72.25293761,2.832403939,1.422188546,0,0,0,0,,
63,10,51.76864956,47.93531623,2.214800454,0.59184811,71.9203393,72.50367263,2.282919578,1.059421882,0,0,0,0,,
64,20,48.81187571,47.64520904,2.501704687,0.609558292,70.70818854,72.54152187,2.827520599,1.477794691,0,0,0,0,,
65,22,48.93795351,47.60462017,2.190460444,0.430219232,70.3898191,72.30648577,2.59531499,1.489875404,0,0,0,0,,
66,80,51.16859605,48.08526272,2.580213293,0.583289751,70.20220681,72.70220681,2.231129459,0.879914289,1,0,0,0,,
67,8,49.82626855,47.99293522,2.799083938,1.008570751,69.70627378,72.45627378,2.308845038,1.179176065,0,0,0,0,,
