Number of Run, Trial Count,Initial Average Hum,Average hum after algorithm, Initial Standard hum deviation,Standard deviation hum after algorithm,Initial Average tem,Average tem after algorithm, Initial Standard tem deviation,Standard deviation tem after algorithm,humAveIss ,humStdIss,temAveIss,temStdIss
62,80,51.5140300436,47.9306967103,2.35628475754,0.44447653241,69.0770469569,71.8270469569,2.43764132986,1.98715368266,0,0,1,1
63,9,48.8739428971,47.9572762304,2.90737397703,1.19847473193,70.524030858,72.8573641913,3.34776926992,0.992018330505,0,0,0,0
64,80,51.020168953,48.020168953,2.53862512651,1.13037089061,71.9349665761,72.9349665761,2.23740977141,0.634815648978,1,0,0,0
65,10,50.6159541239,47.9492874572,3.01406253047,0.446345428714,69.7112969077,72.4612969077,2.40138346259,0.880623569242,0,0,0,0
66,7,50.3598736399,47.9432069732,2.72081939457,0.814522527441,69.4134469449,72.3301136116,2.45895828319,0.801751812033,0,0,0,0
67,80,49.3512786712,47.6012786712,3.29464136301,0.343807521819,71.2251602128,72.3084935461,2.9237602329,2.11126988972,0,0,0,1
68,80,49.4610522432,47.9610522432,2.74911095251,0.332561667399,69.8753380636,71.7920047302,3.51669015289,2.56345192186,0,0,1,1
69,22,48.3731829167,47.6231829167,2.35038384733,0.339414279878,71.250642507,72.8339758403,2.9027513884,1.45576421203,0,0,0,0
70,80,50.2243408368,48.3076741702,2.97496602012,1.95692933837,70.8448416097,72.7615082764,3.43686691614,1.3997811437,1,1,0,0
71,80,49.0546931003,47.5546931003,2.73222669489,0.809749331539,69.6078158966,72.4411492299,3.70080087654,1.96876634538,0,0,0,1
72,80,49.6458764836,48.1458764836,2.85136385106,1.81735666236,71.0411158665,72.6244491998,2.91354411789,1.86661119583,1,1,0,1
73,80,49.680266832,47.680266832,3.0916141523,0.310208535997,71.3823216274,72.2156549608,3.51619222419,2.15859900558,0,0,0,1
74,80,51.0231112211,48.3564445544,2.62171893444,1.96577748718,69.9916993299,72.4083659966,3.36172213376,1.80037349285,1,1,0,1
75,10,51.2648800287,47.9315466953,2.60098386381,0.401020349501,69.7383783635,72.6550450302,2.73777956665,0.795760262776,0,0,0,0
76,22,49.9197022455,47.6697022455,2.10539131846,0.366947227839,69.5406638038,72.7073304705,3.07419907634,1.420980805,0,0,0,0
77,80,51.5836283156,48.166961649,2.46911689596,1.43003379966,69.0586824923,72.5586824923,2.68958029602,0.843418276074,1,0,0,0
78,80,50.2683546642,48.1016879976,2.84523737131,1.18189213987,70.3298602186,72.4965268852,3.26665610635,1.03663097677,1,0,0,0
79,80,49.979791549,48.229791549,3.33320174513,1.55948190072,71.2324329897,72.565766323,2.24703330487,0.918187207915,1,0,0,0
80,8,49.9905302306,47.9905302306,1.61345307042,0.522944046164,70.2729945338,72.8563278671,2.54702525108,1.03256913193,0,0,0,0
81,80,50.6269732783,48.043639945,2.51939706744,1.4887024901,69.08705692,72.5037235867,2.87980523161,1.03854370059,1,0,0,0
82,8,49.2336699502,47.7336699502,2.87890874231,0.595093832283,69.9192990692,72.0026324025,2.34616599112,1.48654572532,0,0,0,0
83,80,49.6229360417,47.956269375,3.13044063897,1.41390474683,69.4374528214,71.7707861548,2.25981991206,2.07412671575,0,0,1,1
84,80,49.6063572369,47.6063572369,2.56170319969,0.470120743214,69.2100813283,72.4600813283,3.26067735785,1.61121167655,0,0,0,1
85,21,50.3663973301,47.5330639967,2.99784955858,0.694926955146,70.2481838693,72.2481838693,2.9369840863,1.36487362258,0,0,0,0
86,10,49.4938265557,47.9938265557,2.19832772801,0.881630225352,69.7076112664,72.8742779331,2.49107718446,0.461136518217,0,0,0,0
87,21,49.4354761924,47.5188095258,2.88579691112,0.559372923847,69.6315051384,72.7148384717,2.71810572794,1.32496388614,0,0,0,0
88,80,48.3485306729,47.9318640062,2.97779785122,0.540968282026,69.9157961345,71.9991294678,2.74226952803,1.68649002313,0,0,1,1
89,80,49.4470404347,47.780373768,2.7685144163,0.591615709979,71.3031007306,71.886434064,2.62866546481,2.00034907955,0,0,1,1
90,11,50.5609367708,47.9776034375,2.14008299143,0.534337634487,69.8219505431,72.8219505431,2.68096699184,0.501205761552,0,0,0,0
91,80,50.0223902686,47.8557236019,2.68666251409,0.46816895423,69.212902687,71.3795693536,2.70371458369,2.53905752008,0,0,1,1
92,80,49.8916717529,47.9750050862,2.96356609156,0.277477998733,68.8702007762,71.9535341096,2.73368246125,2.27487598546,0,0,1,1
93,80,49.0816226401,47.6649559734,2.21435846791,0.578479514065,71.0473841507,71.880717484,2.78412474124,2.25713886324,0,0,1,1
94,80,50.295433955,48.2121006217,2.69765637245,1.42318401031,69.868082996,71.7847496627,2.88519630274,2.44165509514,1,0,1,1
95,80,49.6524512554,48.1524512554,2.64616634361,1.82628876719,70.2918454538,72.4585121204,2.91753528007,0.879834545395,1,1,0,0
96,80,49.8069209798,47.9735876464,2.56271411686,0.451335106764,70.5128561113,71.7628561113,3.72215818849,2.55350400519,0,0,1,1
97,80,50.4977530287,48.2477530287,3.23805363487,1.44857190917,69.8931344479,73.0598011146,3.17700386175,0.825629433018,1,0,1,0
98,7,49.5848844964,47.9182178297,2.30651057105,0.787567886879,70.0208485795,72.1875152462,2.40702351497,1.16393071144,0,0,0,0
99,80,50.5821240507,47.9987907174,2.41745566215,0.927751733458,69.7068622799,71.8735289466,3.02994292723,2.32147964694,0,0,1,1
100,80,50.0122336314,47.928900298,2.8701834347,0.303970323177,69.0486269846,71.7152936512,2.99090451661,2.48130549393,0,0,1,1,0,59
1,9,48.9915121219,47.9915121219,3.25233682348,0.710925583146,69.6979911216,72.4479911216,2.58521853591,1.03935646111,0,0,0,0
2,80,50.7496295568,48.2496295568,2.97919774458,1.99867135862,69.8023810171,72.6357143505,2.56039793718,0.728137246929,1,1,0,0
3,9,49.7454585155,47.9954585155,2.8056157293,1.07377658929,69.5597442335,72.3930775668,2.9996901143,1.28707317628,0,0,0,0
4,5,49.7269821435,47.9769821435,2.90029193675,0.683912635093,71.0297161442,72.1963828109,2.7579106289,0.92976925942,0,0,0,0
5,10,50.6998491411,47.9498491411,2.30247800489,1.20886607405,71.1420976013,72.8920976013,2.63392768332,0.740090220616,0,0,0,0
6,80,51.4974292167,48.2474292167,1.80147813013,1.38680102412,69.297941905,72.297941905,2.83918242615,1.7333045104,1,0,0,1
7,80,50.1981535911,48.2814869245,2.85807777737,1.84409031107,71.2193010577,72.7193010577,2.41537255559,0.566542760339,1,1,0,0
8,80,48.6290603808,47.9623937141,3.13592481824,1.52312025298,71.1675207433,72.3341874099,2.72144128979,2.13179269604,0,0,0,1
9,8,49.1846326791,47.9346326791,2.59138829588,0.581170017851,69.4914173545,72.0747506878,2.28113215809,1.11133872617,0,0,0,0
10,80,49.9409839888,47.6076506555,3.2290399323,0.606410998948,69.9635580298,72.3802246965,2.91066220766,1.66587912874,0,0,0,1
11,10,49.8160848913,47.982751558,2.9262753161,1.19115981156,69.050661613,72.3839949464,3.06550615741,1.09145681869,0,0,0,0
12,21,48.9536016541,47.6202683208,2.48877874502,0.413285022331,70.3005050234,72.3005050234,2.83516809041,1.47356425007,0,0,0,0
13,80,51.2732566751,47.9399233418,2.20260423332,0.872800142095,69.223856748,71.5571900813,2.77381817668,2.74611449734,0,0,1,1
14,8,50.3090221564,47.975688823,3.33126856108,0.743801431553,71.1797790487,72.5964457154,2.83265322487,1.13068193076,0,0,0,0
15,13,49.2998928705,47.9665595372,2.88190210179,1.35374441681,69.3381614401,72.5881614401,3.65534724907,1.20353333635,0,0,0,0
16,6,49.8630654549,47.9463987882,2.51456536307,0.890998482569,69.7486108447,72.4152775114,2.85512821054,1.07491197261,0,0,0,0
17,7,49.9354229575,47.9354229575,1.85803531232,0.714681873483,70.920712124,72.2540454574,2.32483847986,1.03916809904,0,0,0,0
18,80,50.3348697813,48.3348697813,1.72576560821,1.41821795443,69.303946092,72.3872794253,1.83448583537,1.32317170567,1,0,0,0
19,80,50.7672850437,48.4339517104,3.17329815034,1.98998759131,68.2592558366,71.4259225032,2.27921903456,2.41754719341,1,1,1,1
20,80,48.8474318601,47.8474318601,2.84267512663,0.74358974767,69.4068254253,72.4068254253,2.60953687528,1.92674717809,0,0,0,1
21,80,50.2204622745,48.1371289412,2.99703781757,1.91406275433,70.2079511924,72.7079511924,2.54066937915,0.631188626496,1,1,0,0
22,6,50.60412953,47.9374628634,2.04431618378,0.809818556616,71.3082272979,72.5582272979,2.22363278761,1.27752650372,0,0,0,0
23,80,50.5856282303,48.1689615637,3.78509504143,2.04543514621,69.7388911215,72.5722244548,3.209256746,1.39589444914,1,1,0,0
24,80,51.6456719891,48.0623386558,3.12536808346,1.14880442645,69.2299278959,72.3132612293,2.82044339481,1.36723682961,1,0,0,0
25,80,50.7827214119,48.1993880785,2.97146873029,1.274167681,70.4706260336,72.6372927003,2.65490710562,0.832193658426,1,0,0,0
26,9,50.3044328077,47.9710994743,2.43644627775,0.687295007583,69.9788075212,72.4788075212,2.41564530935,1.08132200969,0,0,0,0
27,80,48.4741564085,47.9741564085,2.9000568617,1.06103360022,68.5017925786,71.8351259119,2.25417062274,1.50043500471,0,0,1,1
28,10,49.895680527,47.9790138603,2.82470984291,0.69247605169,68.7581253849,72.7581253849,3.52031776992,0.836104494705,0,0,0,0
29,80,49.9454765179,48.1954765179,2.55277070016,1.64252880219,70.6646725512,71.6646725512,2.61091411897,2.41899694621,1,0,1,1
30,22,49.2109950465,47.7109950465,2.04725164469,0.277932630833,70.1016937317,72.6016937317,2.86595710222,1.48226763766,0,0,0,0
31,80,50.0983377625,47.9316710958,3.03335207694,0.612836856889,69.8766947122,71.4600280455,2.46263918755,2.03778561054,0,0,1,1
32,80,49.4004691886,47.983802522,2.50404841021,0.976338954316,68.6891909802,70.8558576469,2.194949409,2.24054271818,0,0,1,1
33,80,49.3954993156,47.8954993156,2.60898083838,0.466719206414,68.7709223696,71.604255703,2.85762732632,2.71356164643,0,0,1,1
34,4,49.1190217426,47.9523550759,3.44371601773,1.21557192646,71.085043282,72.2517099487,2.65781287854,1.48349814616,0,0,0,0
35,5,49.4054009714,47.8220676381,2.61104404847,0.673616648169,70.7224319135,72.0557652468,1.31657776,1.1787743528,0,0,0,0
