Number of Run, Trial Count,Initial Average Hum,Average hum after algorithm, Initial Standard hum deviation,Standard deviation hum after algorithm,Initial Average tem,Average tem after algorithm, Initial Standard tem deviation,Standard deviation tem after algorithm,humAveIss ,humStdIss,temAveIss,temStdIss
38,101,49.9443234809,48.0276568142,2.1508522283,0.927436042227,68.9264909138,72.0098242471,2.89212266166,2.10840889899,1,0,0,1
39,7,49.9837639937,47.9837639937,2.78061739766,0.790967582725,69.3295122332,72.1628455665,2.4421185803,0.887257398677,0,0,0,0
40,9,50.4173461472,47.9173461472,2.77476434996,0.40882715336,70.1471164185,72.5637830852,2.51686132879,0.776650457296,0,0,0,0
41,8,48.8115453224,47.9782119891,2.24405586674,0.520165299488,69.9206931558,72.3373598225,2.49009079262,1.33039787654,0,0,0,0
42,101,49.7567450391,47.8400783724,3.07383685566,0.658643998897,71.4882450852,72.1549117519,3.19310675587,1.94055492857,0,0,0,1
43,101,49.7310062276,47.7310062276,2.67247774511,0.599301331176,70.3332112728,72.0832112728,2.50159393022,1.71926734127,0,0,0,1
44,101,50.0771186883,47.6604520217,3.3456809931,0.440928856743,69.6752370075,71.3419036741,2.57883952176,2.18692921168,0,0,1,1
45,9,50.7326298324,47.9826298324,2.14526705802,0.445616904623,70.072283032,72.4889496987,2.8977956574,1.49669250808,0,0,0,0
46,101,49.1142643443,48.0309310109,2.34922493893,1.15076112847,70.4396329983,72.2729663316,3.18113049466,2.16664459032,1,0,0,1
47,101,49.2126333273,48.1292999939,2.4035478729,1.62181134212,71.0077095397,72.091042873,2.4312743896,0.96064682686,1,0,0,0
48,9,49.9129920287,47.996325362,3.34579712833,0.992560159818,69.5840739356,72.0007406023,2.83147171664,1.00090885897,0,0,0,0
49,101,50.1298604463,47.9631937796,2.77525375872,0.856340323851,69.1993708236,71.9493708236,2.84712946814,1.80478662948,0,0,1,1
50,101,50.8185371311,48.1518704644,2.91091263749,1.3010134492,71.0474158202,72.1307491535,1.7242444385,1.14388074671,1,0,0,0
51,101,49.7791751153,48.2791751153,2.70862828075,1.93901166323,69.9174123091,71.8340789758,2.87746028523,1.98747746176,1,1,1,1
52,6,49.14712197,47.9804553033,3.18562106771,1.66433135713,69.3157474175,72.0657474175,2.79886826427,0.892703861382,0,0,0,0
53,101,50.1566349465,47.8233016132,2.95416996507,0.44571268189,69.9252655493,71.591932216,2.29494659097,2.1384859107,0,0,1,1
54,101,49.6114287703,47.5280954369,3.14270234872,0.306172315372,70.6109116727,72.0275783394,2.85575222651,2.24196360962,0,0,0,1
55,101,50.4024534019,48.1524534019,2.8604465381,1.79524225457,70.6297020937,71.9630354271,2.16050392075,2.12584734039,1,1,1,1
56,101,50.1209527163,48.2042860496,3.51305299979,1.50606172128,70.2379223414,72.0712556747,2.92794041951,1.8262173371,1,0,0,1
57,101,49.6268959215,48.2935625882,3.30191845666,1.93957677914,69.7048645555,72.9548645555,2.81477779928,0.633361979349,1,1,0,0
58,101,48.4798324922,47.3964991589,2.52097344244,0.593311839842,69.5670915744,72.0670915744,2.9203397921,2.35750382748,0,0,0,1
59,9,49.6790615535,47.9290615535,2.18684298651,0.632713417028,69.9281147471,72.9281147471,2.46750165248,0.687121141752,0,0,0,0
60,101,49.352337468,47.602337468,3.32936597576,0.455320546291,70.5195182032,72.5195182032,2.57008906487,1.58993524956,0,0,0,1
61,7,49.948739886,47.948739886,1.71998412803,0.922612343052,69.9283138756,72.6783138756,2.16572614841,0.909656818723,0,0,0,0
62,6,49.7798414048,47.9465080715,2.99567331712,0.703263441675,71.0440337852,72.3773671185,2.25553707371,1.01993990266,0,0,0,0
63,5,48.6158891372,47.7825558038,2.99329287246,1.40187101813,68.7125417235,72.0458750569,2.61909580371,0.804146617726,0,0,0,0
64,101,49.4423978781,47.6090645448,2.77584500242,0.352730724325,69.6357439711,72.3857439711,2.6136853873,1.64107003339,0,0,0,1
65,11,50.4617475368,47.9617475368,2.51603670236,0.738296653389,71.1209141659,72.8709141659,3.00257960344,0.615363819152,0,0,0,0
66,7,48.6565384069,47.9898717402,2.76626627141,1.50549894413,69.8389328511,72.3389328511,2.52062756274,0.857145916445,0,0,0,0
67,101,50.8217879842,48.0717879842,2.63536734659,1.50858863287,70.7078460969,72.7078460969,3.05653003335,2.03885641115,1,0,0,1
68,8,50.5354682727,47.9521349394,2.84755186861,0.3225333529,69.9083776135,72.4083776135,2.25570161781,1.14380980165,0,0,0,0
69,101,49.2680414411,47.5180414411,2.56652947946,0.544502545018,69.301456834,72.301456834,3.25713131657,1.71464017536,0,0,0,1
70,7,49.7569127787,47.9235794453,3.10373934764,1.26801033897,70.4265729211,72.0099062544,2.44193460134,1.17687594023,0,0,0,0
71,101,49.467579271,47.8009126043,2.57834583969,0.951741592206,70.016215676,70.5995490093,2.69448846931,2.19020841079,0,0,1,1
72,6,49.4971985654,47.9971985654,2.64135427883,1.36636297552,70.5102814412,72.5936147745,3.12673027233,1.2586244577,0,0,0,0
73,101,50.2265813772,47.9765813772,2.39568294858,0.79530954889,70.4569077365,72.2902410699,3.02381627004,2.09630288665,0,0,0,1
74,101,49.594553652,47.9278869853,2.78995632275,1.0206838489,69.5919987953,72.008665462,3.59333730904,2.76314108118,0,0,0,1
